Stock Symbol,Company Name,ISIN Code,Action,Quantity,Transaction Price,Brokerage,Transaction Charges,StampDuty,Segment,STT Paid/Not Paid,Remarks,Transaction Date,Exchange,
TRILTD,TRIDENT LTD,INE064C01022,Buy,20,25.00,1.30,0.02,0.08,TT,STT Paid,icicidirect,12-Mar-2025,NSE,
TUTALK,TUTICORIN ALKALI CHEMICALS & F,INE400A01014,Buy,1,60.90,0.55,0.06,0.00,TT,STT Paid,icicidirect,10-Aug-2023,BSE,
TUTALK,TUTICORIN ALKALI CHEMICALS & F,INE400A01014,Sell,1,77.15,0.70,0.08,0.00,TT,STT Paid,icicidirect,04-Oct-2023,BSE,
TUTALK,TUTICORIN ALKALI CHEMICALS & F,INE400A01014,Buy,5,53.50,0.74,0.27,0.04,TT,STT Paid,icicidirect,29-Dec-2025,BSE,
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,Buy,3,28.80,0.77,0.00,0.00,TT,STT Paid,icicidirect,03-May-2023,NSE,
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,Buy,3,28.80,0.77,0.00,0.00,TT,STT Paid,icicidirect,03-May-2023,NSE,
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,Sell,3,31.00,0.82,0.00,0.00,TT,STT Paid,icicidirect,08-Jun-2023,BSE,
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,Sell,2,35.99,0.64,0.00,0.00,TT,STT Paid,icicidirect,23-Oct-2023,BSE,
UDACEM,UDAIPUR CEMENT WORKS LIMITED,INE225C01029,Sell,1,40.00,0.10,0.00,0.00,TT,STT Paid,icicidirect,21-May-2024,NSE,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,Buy,6,30.15,1.60,0.01,0.00,TT,STT Paid,icicidirect,10-May-2023,BSE,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,Sell,2,38.82,0.69,0.00,0.00,TT,STT Paid,icicidirect,16-Oct-2023,BSE,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,Sell,1,41.15,0.11,0.00,0.00,TT,STT Paid,icicidirect,12-Dec-2023,NSE,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,Sell,2,43.00,0.22,0.00,0.00,TT,STT Paid,icicidirect,13-Dec-2023,BSE,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,Sell,1,49.55,0.13,0.00,0.00,TT,STT Paid,icicidirect,11-Jan-2024,BSE,
UDAINF,UDAYSHIVAKUMAR INFRA LIMITED,INE0N0Y01013,Buy,5,23.50,0.31,0.00,0.02,TT,STT Paid,icicidirect,29-Dec-2025,NSE,
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,Buy,1,273.15,2.42,0.01,0.00,TT,STT Paid,icicidirect,29-Mar-2023,NSE,
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,Sell,1,319.00,2.82,0.01,0.00,TT,STT Paid,icicidirect,02-May-2023,NSE,
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,Buy,5,277.00,3.60,0.04,0.21,TT,STT Paid,icicidirect,13-Nov-2024,NSE,
VAIGLO,VAIBHAV GLOBAL LIMITED,INE884A01027,Buy,5,208.35,2.71,0.03,0.00,TT,STT Paid,icicidirect,09-Apr-2025,NSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Buy,1,254.10,2.25,0.01,0.00,TT,STT Paid,icicidirect,03-Aug-2023,NSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Buy,1,248.00,2.20,0.01,0.11,TT,STT Paid,icicidirect,07-Aug-2023,NSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Buy,1,245.50,2.17,0.01,0.00,TT,STT Paid,icicidirect,07-Aug-2023,NSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Buy,1,240.50,2.13,0.01,0.00,TT,STT Paid,icicidirect,07-Aug-2023,NSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Sell,1,266.25,0.69,0.01,0.00,TT,STT Paid,icicidirect,19-Dec-2023,NSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Sell,1,305.50,0.79,0.01,0.00,TT,STT Paid,icicidirect,03-Apr-2024,BSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Sell,1,365.00,0.95,0.01,0.00,TT,STT Paid,icicidirect,15-Apr-2024,BSE,
VEDLIM,VEDANTA LIMITED,INE205A01025,Sell,1,443.90,0.00,0.00,0.00,TT,STT Paid,icicidirect,04-Jun-2024,BSE,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,Buy,1,274.60,0.71,0.01,0.00,TT,STT Paid,icicidirect,05-Jul-2024,BSE,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,Buy,1,235.55,0.61,0.01,0.00,TT,STT Paid,icicidirect,09-Jul-2024,NSE,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,Buy,3,235.00,1.83,0.02,0.00,TT,STT Paid,icicidirect,09-Jul-2024,NSE,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,Buy,3,227.00,1.77,0.02,0.00,TT,STT Paid,icicidirect,10-Jul-2024,NSE,
VRAIRO,VRAJ IRON AND STEEL LIMITED,INE0S2V01010,Sell,8,122.75,2.56,0.04,0.00,TT,STT Paid,icicidirect,29-Dec-2025,BSE,
WIPRO,WIPRO LTD,INE075A01022,Buy,5,501.55,22.21,0.07,0.00,Rolling,STT Paid,icicidirect,02-May-2022,NSE,
WIPRO,WIPRO LTD,INE075A01022,Buy,10,462.10,40.92,0.13,0.00,Rolling,STT Paid,icicidirect,19-May-2022,NSE,
WIPRO,WIPRO LTD,INE075A01022,Buy,10,462.50,40.96,0.13,1.00,Rolling,STT Paid,icicidirect,19-May-2022,NSE,
WIPRO,WIPRO LTD,INE075A01022,Sell,15,383.10,41.33,0.19,0.00,Rolling,STT Paid,icicidirect,23-Dec-2022,NSE,
WIPRO,WIPRO LTD,INE075A01022,Sell,1,529.50,1.38,0.01,0.00,TT,STT Paid,icicidirect,04-Jul-2024,BSE,
WIPRO,WIPRO LTD,INE075A01022,Buy,9,0.00,0.00,0.00,0.00,TT,STT Not Paid,icicidirect,05-Dec-2024,NSE,
ZEROSE,ZERODHA SILVER ETF,INF0R8F01091,Buy,100,25.00,6.50,0.08,0.38,TT,STT Paid,icicidirect,29-Dec-2025,NSE,
ZEROSE,ZERODHA SILVER ETF,INF0R8F01091,Buy,5,26.19,0.34,0.00,0.00,TT,STT Paid,icicidirect,13-Jan-2026,NSE,
ZEROSE,ZERODHA SILVER ETF,INF0R8F01091,Buy,25,28.29,1.84,0.02,0.11,TT,STT Paid,icicidirect,16-Jan-2026,NSE,
ZOMLIM,ETERNAL LIMITED,INE758T01015,Buy,10,68.15,6.04,0.02,0.00,Rolling,STT Paid,icicidirect,18-Aug-2022,NSE,
ZOMLIM,ETERNAL LIMITED,INE758T01015,Buy,20,56.35,9.98,0.04,0.00,Rolling,STT Paid,icicidirect,23-Dec-2022,NSE,
ZOMLIM,ETERNAL LIMITED,INE758T01015,Sell,10,61.00,5.40,0.02,0.00,TT,STT Paid,icicidirect,27-Apr-2023,NSE,
ZOMLIM,ETERNAL LIMITED,INE758T01015,Sell,10,66.00,5.84,0.02,0.00,TT,STT Paid,icicidirect,28-Apr-2023,NSE,
ZOMLIM,ETERNAL LIMITED,INE758T01015,Sell,1,68.00,0.60,0.00,0.00,TT,STT Paid,icicidirect,25-May-2023,BSE,
ZOMLIM,ETERNAL LIMITED,INE758T01015,Sell,8,75.00,5.31,0.02,0.00,TT,STT Paid,icicidirect,07-Jun-2023,NSE,
ZOMLIM,ETERNAL LIMITED,INE758T01015,Sell,1,85.00,0.75,0.00,0.00,TT,STT Paid,icicidirect,14-Jul-2023,BSE,
